Lx,Ly,Lz,Rx,Ry,Rz
16224,1424,-1372,17576,-760,716
15656,1764,992,16188,-1984,204
14420,456,-888,15664,-1620,464
14248,-1224,-1732,15508,-32,-196
11180,-3064,-212,15760,-4768,2300
13672,-3368,6752,16928,-3936,4416
13688,4176,8204,22312,-3504,-5664
18756,-3280,11752,24664,7280,624
16264,1148,5284,16556,5180,9756
16608,-4264,4804,16836,-9072,13012
16740,400,4656,10904,-13992,9232
15632,-3816,3824,14232,-3052,11500
15900,-3912,3176,10248,-1268,11576
16188,-1652,2236,12672,-7012,11304
17496,-1400,3548,14856,2988,13468
19284,-924,2408,14012,3624,6420
18748,400,1904,10596,-2168,4400
25556,6960,-4512,8752,10364,5820
22088,-11452,12852,15924,684,9396
10216,-3380,21140,14720,-1448,780
10524,1868,11764,16964,-960,2048
5572,-400,13124,14368,-1136,-1896
9728,-2012,13244,16292,344,1400
13516,4908,15740,16152,-312,-720
15036,-2196,13616,17344,-500,-1480
16648,3692,11240,16044,-2356,-1572
8944,-3416,9716,17344,-3108,-5004
32767,-25612,4424,25772,-19116,-11540
19108,-16948,10340,32767,8020,8920
13400,4932,5620,9956,2272,21736
15720,-7304,1720,3928,-8728,10332
14936,-12,-80,6324,604,14212
15288,-2848,4900,12904,-4024,10924
16324,-2076,5252,10960,-6028,10616
15780,-2008,4000,17380,836,9056
17376,632,3936,21052,-1896,2272
19320,-3552,-2788,6312,3604,-3096
27752,1428,-6664,32767,-14476,-11008
22772,-7864,5916,17728,2648,14152
12684,-10496,19048,15040,-7496,9344
10532,26800,13976,17820,-3112,6580
5444,-4944,14828,17072,7304,-68
8744,784,16024,16048,-3520,-2204
14304,3208,16872,16520,-6216,-368
16368,-244,17748,19540,372,-4132
11664,1916,9924,17580,-908,-1752
8924,-664,5496,18720,-2996,-156
32767,3856,-8660,22552,-8692,-4940
18280,-12520,7944,24368,2828,240
13020,5416,1584,20272,2796,8468
14744,-9316,616,7140,-5908,11044
14988,-2176,-804,9844,3432,12288
14792,-3440,992,9660,-4660,11724
21740,-480,7364,10172,-3972,12916
15980,-2740,3596,13912,-3600,12672
16832,-2548,3096,19944,400,5852
18000,-976,2376,7404,-5320,1552
18416,-72,-44,13480,-500,7256
24316,6004,-3304,7916,-600,1592
26700,-23124,17232,16620,1808,12396
7004,4776,16232,15796,2600,5336
6424,-416,12968,16320,576,668
6560,3260,12752,16636,2100,1852
8988,4704,11260,15396,1112,1464
12780,3940,14056,16996,-428,1852
15952,-2404,11732,16400,1316,2208
18400,348,6524,20056,160,-1852
7308,-3628,5164,19432,-4976,-1264
27912,-11776,5436,29120,-13292,-14656
20148,-9472,9412,25188,4916,9916
13428,-656,5280,15368,12196,8812
16036,-3724,-552,12448,-4552,6912
14652,-2636,156,7960,1292,11368
15556,-1312,3208,11608,180,12556
15440,-1860,3396,10100,-588,12856
16632,-3756,3040,14652,-5248,13944
16656,-1044,2656,19464,-364,7928
17200,2208,3856,7152,-476,-3912
20536,1536,-1784,32767,-5576,-23544
25928,6540,-4480,14860,-13960,5480
22708,-13752,11852,16916,-8668,4792
9240,32767,11900,22700,19736,2484
6812,-2664,15616,14656,-7564,3656
6064,540,14920,17784,2948,860
9448,1488,15652,15976,-856,12
18596,2132,14412,21304,1020,1008
18576,1828,8844,16440,-1220,-2544
13544,-3536,6396,18444,-1840,616
32767,-2772,-1180,21188,-4420,-3152
18488,-500,5180,23800,-6504,-8224
14612,8028,-1152,29716,7892,9548
15544,-8324,-648,12356,-7504,8284
15940,-3536,32,9884,-724,11232
