17192,-2248,104,19140,-500,6844,0
18528,792,-908,8496,896,5896,0
20912,-784,-9496,32767,-1896,-16132,0
25500,-268,-4656,9600,-3956,6740,0
16072,-12536,7024,19188,-2176,5448,0
11268,-208,6712,19116,11228,3736,0
14644,-952,12572,18684,-2276,2684,0
12468,640,11084,16084,3452,3060,0
14468,2320,13384,16572,500,1992,0
23928,-1500,10992,15976,704,452,0
14896,7276,10624,26604,-168,768,0
9376,2312,14516,24612,3336,556,0
15208,3404,9428,32767,1068,-9068,0
21572,-9516,13584,24528,3624,4952,0
13280,-2380,5692,6232,-3044,2304,0
17152,-1292,1240,10268,-748,5012,0
16744,-832,2576,13748,-2768,7912,0
14684,-1800,3740,17440,-5608,9156,0
15816,-1928,2832,20996,-4388,7040,0
15824,1224,-1392,15568,2112,7560,0
20184,-564,-1652,10756,-3652,7000,0
24600,1728,-5936,32767,448,-32388,0
32348,-6556,2512,8564,-6724,13636,0
11960,-9924,17624,18860,-3736,3132,0
14584,1628,10040,18484,6004,4640,0
960,1588,11236,15980,384,2404,0
12548,-356,12736,15740,4000,1440,0
18520,-540,14192,16340,2812,1580,0
19392,-996,13128,15784,1776,1964,0
11652,-612,9516,17272,-120,1668,0
12556,3940,10764,17652,-1284,3644,0
14844,2036,9696,32767,-1560,-7840,0
20148,-8812,10568,26596,7856,7288,0
13008,3476,5116,5548,-3756,5020,0
15540,-5480,544,9184,-4996,8040,0
16160,872,1776,11376,1244,7080,0
16016,-1696,4120,17088,-8128,8996,0
15936,-3012,1252,18756,-7140,9996,0
17188,1220,-1060,18140,1924,7648,0
20676,-2660,-2384,6920,-1120,7496,0
25864,3908,-7952,26708,5484,3412,0
29608,-1008,3240,15852,7544,8760,0
14668,-13052,16288,14880,3280,5024,0
17504,4408,12088,16604,5260,3276,0
5152,-1988,11692,16460,1840,80,0
11524,-2544,11920,16120,4376,428,0
8100,-1632,11760,15812,3616,3660,0
9780,2320,12312,14212,2752,6064,0
13520,1692,12752,15052,60,3784,0
17556,-1004,6284,15376,1592,2140,0
14452,-2632,3168,17752,248,5288,0
15236,-960,4596,15464,2132,1820,0
25192,-700,-1836,25440,-1212,-2604,0
17016,-3616,2328,24020,12700,3080,0
17164,-512,3256,17960,1256,16560,0
17912,-8208,1984,12216,-12692,10808,0
17100,2500,80,3148,6932,968,0
16916,-1844,3700,7684,-5592,2984,0
16576,-1412,2704,12336,-8544,8052,0
16000,-876,2340,14184,-4628,11612,0
14668,-1228,5176,18152,-972,10660,0
14524,-1356,5956,23408,1068,3908,0
17768,428,1616,8924,2344,1048,0
19792,-272,1048,13796,-140,5956,0
