Lx,Ly,Lz,Rx,Ry,Rz,label
16896,-4276,4052,15224,-1620,4312,1
15672,-1204,1556,15904,-1156,3448,1
16164,-4116,3448,16184,-2860,5168,1
15876,4140,3160,16164,-5508,4792,1
16288,1916,3716,15340,-5404,3656,1
16384,-4844,4424,16080,7868,3792,1
16656,-3820,5216,16260,2068,4184,1
15988,576,3040,15472,-1308,2584,1
15856,-120,3124,16096,-3148,2948,1
15880,-2512,1676,16732,-2844,4592,1
16060,-572,4976,18320,1976,168,1
17152,736,5940,18028,-4308,3388,1
16124,-2380,5372,15452,316,2640,1
15548,-2532,860,12348,-5352,5444,1
17328,-1212,4236,15736,-2520,29560,1
16284,332,6372,22380,14964,-3000,1
16372,-804,4404,18008,-404,2764,1
16368,-968,3480,14516,-1948,1308,1
16200,-1820,3268,16916,-1064,1688,1
15840,-1372,4228,9152,-6688,17072,1
16456,-1332,5644,25564,3148,-220,1
16060,948,4928,15096,-532,3312,1
15940,-364,3724,16164,128,1000,1
15736,0,4008,16464,844,936,1
16160,476,3784,16408,-756,3952,1
15780,-12,5684,16308,-572,3712,1
16012,460,4408,16508,-184,4464,1
16176,24,4360,16120,-232,3340,1
17076,-760,4696,16516,116,3472,1
16400,352,4532,16348,-876,3608,1
16096,-572,4468,16316,-1328,3880,1
15160,-304,7396,16228,-284,4008,1
15584,-936,7372,16228,-316,3244,1
16080,144,5408,16300,-160,3864,1
17740,328,1392,16448,-568,3900,1
16228,800,2968,16068,-480,2632,1
11624,-388,15288,16372,-180,3072,1
24104,-2876,-1416,16908,-88,4644,1
14220,1396,2924,16240,-1896,3216,1
17412,-1148,1484,16324,-132,2708,1
16288,-636,2064,15664,-416,2444,1
16300,-1188,3592,16180,-772,2848,1
16684,-896,4972,16324,-1212,3400,1
16604,-8,4176,16724,-1052,4096,1
16136,-1696,4916,17488,-388,276,1
16208,-1300,4260,15508,-3852,5412,1
16152,-1116,3012,13568,-3368,4236,1
16088,-1488,3344,17412,-520,10356,1
16584,-1632,4692,19772,-2508,1792,1
16120,-1380,4756,16940,-468,3660,1
16036,-164,3516,17068,-816,1608,1
16160,1140,3176,16080,-5724,460,1
16676,-1344,4824,16452,-1040,3232,1
16180,-2704,4200,16700,2676,5940,1
16016,-2700,3696,16244,476,2268,1
15852,3896,3324,16308,-7412,868,1
16172,-564,3256,16488,960,3412,1
15908,-4216,4940,16464,1752,3184,1
16232,-568,4452,16492,-696,3336,1
16604,3652,3696,16336,-5108,1984,1
16012,-2092,3504,16392,516,2524,1
15832,-3144,4264,16732,2580,3728,1
16100,384,3884,16116,120,2148,1
17060,6632,5072,16440,-7776,2552,1
16348,-2956,4652,16496,272,3884,1
15752,-4356,5016,16140,3480,3072,1
16164,-1780,3284,16400,272,2624,1
16608,7820,3132,16560,-7888,1324,1
15800,-7300,4168,16616,60,2596,1
16196,-2652,5160,16168,2592,3324,1
16312,492,3524,16268,1848,2564,1
16004,5036,2664,15980,-8752,1492,1
16084,-2672,3140,16680,-1208,3372,1
15472,-6372,5708,16352,6560,3672,1
16404,1724,4544,15884,820,2788,1
16624,5652,4640,16260,-14412,2948,1
16436,-5320,4680,16984,1916,3800,1
16048,-2540,3644,16040,2308,2984,1
15640,852,2964,16028,-1692,200,1
15740,3188,3396,16180,-1448,892,1
17220,104,4332,17844,-2688,4036,1
16564,-6536,6008,19124,2092,820,1
15940,-132,4552,17884,-2192,564,1
15812,-1668,1188,13460,-2960,5236,1
15388,-1972,604,11828,-1024,3328,1
16172,68,2280,17344,-2780,2860,1
15576,-2596,8120,14032,-3300,-4448,1
16200,-848,5836,12060,-4316,672,1
15932,-1656,2032,14544,-1408,4464,1
15424,-1332,488,17196,1852,-308,1
15932,-436,3628,15752,1080,-1808,1
16516,-216,4496,16124,-1708,3656,1
16436,864,3632,16812,-5604,4016,1
15544,1980,5572,16424,1792,232,1
15544,-6832,5244,15472,7224,3312,1
15356,1380,7048,16340,4276,2096,1
17636,-720,3124,16876,-6500,4204,1
15252,2592,7064,16700,-3948,3984,1
15736,-388,5884,16268,2052,3456,1
16220,456,4880,16184,1808,3192,1
17884,1072,3780,16668,-1832,4112,1
16836,84,5200,16300,-932,3788,1
17432,-1612,1840,16360,2236,2932,1
17780,1720,3100,16388,548,2184,1
12208,1140,7308,16176,240,2220,1
9224,1048,15972,16260,956,764,1
23104,-1276,-856,16944,1476,4180,1
14764,1376,4256,16388,8,2560,1
15736,-1708,2128,16156,-1124,3356,1
15856,-1468,748,16008,-928,516,1
16872,-1144,2580,16476,-2024,1132,1
17596,-256,420,16544,1584,3040,1
15004,-1248,9512,16844,-80,3240,1
13020,1128,15976,16492,848,788,1
24924,-3940,-20,16980,1652,1084,1
15124,-160,2884,17156,-1796,904,1
14260,-1428,5488,17972,-1740,2288,1
15716,-2648,3976,14100,-764,6596,1
15096,-716,4780,15420,-3452,3112,1
15508,-2132,3700,19888,324,1336,1
15320,-1388,4760,7648,-5924,6244,1
16232,-936,6716,18104,-620,-2756,1
16072,-428,6128,14000,-1920,4628,1
15508,-1188,3432,17312,1056,1368,1
16188,-996,3804,15960,-1084,2580,1
16000,-1120,4396,16040,-1496,2472,1
16088,484,2276,16816,128,3332,1
15848,1744,6900,16600,-1276,3252,1
15172,-168,9000,16204,1616,1736,1
16468,-7048,5908,16288,3720,3296,1
15324,604,3940,16292,1616,4892,1
15836,652,6932,16940,-6572,2372,1
16408,9012,5784,16244,-648,4340,1
15928,-5080,5568,16588,1924,3368,1
15668,804,5808,16268,416,3528,1
16112,5768,4148,16152,-4228,2200,1
16012,-1380,5416,16704,420,4476,1
15996,-8708,6736,16440,3280,2476,1
15240,156,5060,16448,976,4052,1
17076,8596,5512,16212,-4216,1776,1
15928,-2916,5400,16388,620,3336,1
15740,-1792,5684,16264,1228,2560,1
16080,-1952,5428,16460,3748,3252,1
15868,2084,4996,16532,-1272,2640,1
15752,-1448,3400,16364,-2404,1476,1
16140,780,3008,16236,-1688,1476,1
16324,-204,2596,16556,-120,2684,1
18144,-1732,1820,16328,364,1360,1
19404,-204,3172,16660,1116,3868,1
15600,544,3580,16556,-480,3396,1
14632,-40,4832,16452,296,2824,1
14876,3128,7604,16372,264,1220,1
6268,1232,19348,15732,800,952,1
23364,-3676,1108,16772,-76,4488,1
15508,1888,5180,16436,-1004,3740,1
14712,-2008,3696,16368,-4,3192,1
15204,-72,720,16280,-56,2308,1
16284,-2456,-748,16348,4192,4120,1
16344,-5764,4040,15376,-3916,2848,1
16668,1844,2836,16308,-4112,3152,1
16344,5516,3560,16284,-5900,4592,1
16060,-3748,3844,16744,1776,2728,1
16584,-4280,2252,16240,4824,3788,1
16400,-240,2292,16540,-3936,1488,1
16268,2896,2116,15904,-4004,3876,1
15708,-3884,3900,16448,-1316,3356,1
16072,-3252,5404,16184,1320,3976,1
16792,-2592,5352,16712,2724,3260,1
16608,-312,2816,16048,-1456,2992,1
15684,348,3804,16436,-2860,3564,1
15700,3608,4648,16112,-2308,3880,1
16572,320,4996,16364,-1332,3416,1
16468,-5188,2504,17500,-356,1900,1
16136,-2316,2472,20160,288,-3024,1
16336,-2012,3324,15776,-3712,3240,1
16020,-2340,2564,14768,-3748,2324,1
15848,-2704,600,11360,-1972,7272,1
17128,-512,5924,18792,2316,-1184,1
16160,-1232,5116,6736,-4768,-172,1
15880,-1312,3808,17780,-1156,1964,1
15888,-1264,2728,15716,-580,3028,1
16116,-2196,2376,15664,-1388,1104,1
16308,-860,2576,16852,-2288,160,1
16024,-8164,4452,17068,668,2844,1
15812,3504,5884,16644,-104,972,1
16548,4224,5848,16220,-3400,2748,1
15620,-1788,5548,16448,-5588,1652,1
15604,-8280,4260,16648,3484,2812,1
16700,-1592,3564,16476,-400,1720,1
16060,2908,4496,16344,-4260,1720,1
16028,720,4452,16500,-3532,2032,1
17236,-7596,4752,16564,1020,2104,1
15808,-184,4056,16552,636,1600,1
15764,3016,4484,16324,-2572,620,1
16396,6504,5096,16148,-2436,472,1
16184,-6376,4340,16528,-1416,2144,1
15516,-10272,6124,17152,5920,4476,1
16432,3388,5456,16096,-3496,3908,1
16564,1088,4676,15708,-7872,1692,1
15916,-624,4480,16428,-5104,3100,1
16056,-4968,4560,17132,4644,2900,1
15672,-2284,3300,16500,1964,3112,1
16256,2608,4528,15624,-3804,628,1
16232,748,4432,16396,-5268,2640,1
15964,-2180,5080,16336,712,864,1
15332,-1924,4564,17300,236,2208,1
16352,-1212,4392,20284,316,-2216,1
16140,-2900,4388,17648,-8,1264,1
15800,804,3716,11424,-2760,3312,1
15916,-2304,3660,12652,-3920,4372,1
17244,-2500,6344,19720,-5076,23808,1
15548,-1412,6436,9788,2024,2204,1
16368,-1508,5852,17112,-3048,2164,1
15848,84,3888,15380,2772,4628,1
15928,-968,4276,15880,-4724,1440,1
15304,-224,4392,17076,1316,1128,1
16456,1160,4452,16508,2320,2392,1
14720,-2088,8588,16292,3352,972,1
16076,-648,6296,16736,2048,3032,1
16232,3384,7824,16260,-9368,68,1
16220,2676,5540,16668,240,3484,1
15752,-3844,6220,16520,5364,3420,1
15292,-1408,6260,16240,-440,992,1
16212,2152,4024,16556,-812,2928,1
16436,1660,4772,16236,-3140,2476,1
16768,-1820,2148,16780,-784,2756,1
18424,-1600,2604,16504,1540,3400,1
15900,280,6352,16396,-372,1916,1
15964,-7224,2548,16688,1268,4128,1
16436,5932,6328,16436,-472,1416,1
17888,-5248,31040,16560,1704,1388,1
21820,-968,896,16684,412,2108,1
12812,3304,4180,15820,-712,2976,1
14600,-5228,3400,16488,-536,2520,1
17288,-2392,4304,16692,3132,2696,1
16776,612,3528,15728,-1468,4092,1
15180,380,4640,16296,-9100,2036,1
16616,1364,5004,16568,-3024,4324,1
15632,-6056,5936,16496,4576,3976,1
16164,-1228,4220,16284,660,3204,1
15996,-1260,3336,16048,-3580,1604,1
15616,2636,352,17032,-756,2316,1
15328,-2356,4260,16616,-1208,3268,1
16360,4280,3368,16120,-1196,3380,1
15792,-2204,7508,16540,-1384,2868,1
16000,-4152,7724,16376,1912,2572,1
16976,-3432,7100,16504,0,3500,1
15460,-2468,4956,16160,-1492,368,1
15948,3480,3936,17272,-2784,1332,1
15984,-2896,3600,21180,1928,-340,1
16304,-1144,6324,15348,-3740,5428,1
15808,-1276,4036,13852,-4148,5056,1
15132,-2488,1392,8580,-1264,7540,1
15924,-2584,6608,21816,-9500,-15648,1
15964,432,7116,6840,-3268,2060,1
16232,-1432,5724,14624,376,3004,1
15756,-2196,5124,17908,-184,3464,1
15640,-1624,3844,15180,-3040,1540,1
15528,-3820,3672,16112,-532,1248,1
16248,-536,5168,16088,-2272,2188,1
14656,2252,7300,16640,-1408,3088,1
16880,2156,6688,16368,-3372,3164,1
15584,-68,6212,16284,-968,3036,1
15848,-6652,5772,16144,4356,3436,1
15696,-996,5116,15964,-1408,2424,1
15888,2736,4540,16276,-5168,1820,1
15840,-516,6416,16560,-1616,2988,1
