Lx,Ly,Lz,Rx,Ry,Rz
6048,4396,-13432,16208,-3216,244
6040,4468,-13228,16444,-3232,72
6072,4836,-13384,16488,-3212,172
5896,4612,-13156,16504,-3380,48
5792,4936,-13320,16440,-3236,-148
5656,4960,-13600,16568,-3256,-48
5660,4956,-13644,16464,-3040,-124
5596,4612,-13612,16624,-3116,-108
5924,4716,-13156,16428,-2940,-8
6104,4580,-13084,16584,-2928,44
5596,4820,-13600,16548,-3144,-28
5568,4916,-13528,16416,-3236,60
5668,5056,-13440,16472,-3140,32
5772,5076,-13396,16548,-2928,16
6048,4888,-13176,16504,-3032,76
5704,4748,-13188,16588,-3028,80
5832,4720,-13464,16568,-3184,64
5616,4868,-13528,16076,-3156,-36
5844,4748,-13208,16772,-3052,-212
5916,4768,-13260,16520,-2896,-136
5964,5040,-13328,16368,-2856,32
5744,4944,-13520,16464,-3012,-36
5676,4808,-13244,16540,-3060,-80
5724,5016,-13636,16452,-3208,8
5876,5040,-13256,16392,-3100,40
5880,4772,-13280,16228,-3196,104
5736,4740,-13180,16536,-3004,-136
5776,4712,-13292,16560,-3048,-244
5616,4808,-13528,16456,-2836,-68
5768,4676,-13268,16376,-3180,244
5480,4200,-13432,16388,-3112,228
5624,3936,-13284,16484,-3260,-44
5604,4496,-13532,16480,-3388,-196
5720,4288,-13400,16452,-3208,-8
5944,4184,-13748,16384,-3396,8
6264,4164,-13536,16520,-2852,88
6412,3312,-13420,16268,-3256,-44
6840,3348,-13360,16556,-3020,-52
6800,3568,-12984,16384,-3252,52
6628,3244,-13392,16472,-3352,-112
5568,3936,-14180,16432,-3456,-92
4800,5228,-13528,16352,-3440,12
4236,4728,-11804,16356,-3356,116
4264,4596,-13896,16452,-3296,-64
4404,4296,-13884,16440,-3256,-108
5156,4284,-13732,16468,-3152,-60
5000,3644,-13264,16508,-3244,-64
3944,4692,-13544,16464,-3168,-104
3380,3920,-14548,16400,-3216,-64
3716,5220,-13800,16492,-3356,88
3212,4612,-13648,16440,-3384,-48
3976,4736,-14124,16388,-3392,-32
2648,5336,-13864,16320,-3484,12
3448,5168,-14076,16436,-3332,140
3468,4564,-13908,16452,-3192,-152
3580,4564,-14036,16476,-3168,-104
3352,4628,-14160,16340,-3044,-144
2760,5012,-14264,16384,-3268,84
2908,4684,-14484,16528,-3284,120
3468,4676,-14284,16408,-3384,-144
3664,5032,-13768,16560,-3452,4
3832,4928,-13768,16432,-3416,-80
3508,5004,-13860,16468,-3328,64
2932,5040,-14160,16424,-3432,-124
3304,5088,-14160,16312,-3404,-144
3336,5560,-13948,16344,-3500,116
3600,5516,-13916,16356,-3392,120
3996,4872,-14068,16336,-3416,-52
3196,5816,-13452,16396,-3156,44
4348,5492,-13572,16524,-3236,-180
3892,5744,-13800,16396,-3364,-88
4924,5292,-12240,16420,-3272,-60
4024,5172,-12284,16236,-3500,-76
4024,6436,-12932,16400,-3400,-160
4124,6768,-13216,16376,-3244,-144
4204,6480,-12868,16508,-3304,-344
4500,6536,-13120,16500,-3392,-84
4468,6640,-12948,16452,-3292,40
4412,6832,-13248,16348,-3316,116
4416,6640,-13080,16380,-3332,-104
4480,6632,-13084,16388,-3404,-140
4432,6636,-13220,16464,-3436,-164
4532,6612,-13088,16440,-3268,56
4524,6572,-13056,16428,-3148,136
4492,6612,-13128,16484,-3280,-120
4440,6736,-13196,16424,-3236,-172
4228,6504,-13064,16396,-3000,40
4500,6680,-13168,16520,-2872,48
4524,6272,-12832,16380,-3128,-76
4388,6572,-12892,16488,-3204,-184
4692,6480,-13064,16412,-3212,-48
4108,6728,-13228,16488,-3292,-8
4096,6772,-13268,16432,-3292,-48
4456,6812,-13152,16460,-3196,-56
4444,6764,-12828,16456,-3176,16
4468,6500,-12848,16444,-3080,-72
4412,6608,-13272,16508,-3096,-16
4356,6540,-13212,16472,-2980,-92
4368,6456,-13116,16440,-2992,-80
4672,6620,-13128,16368,-2988,84
4544,6772,-12780,16468,-3068,-160
4816,6612,-12876,16520,-3068,-208
4552,6684,-13240,16404,-3184,-56
4136,6628,-13408,16452,-2972,32
4248,6852,-13352,16460,-2904,-4
4568,6736,-13108,16532,-3004,-120
4460,6992,-12900,16476,-2988,-116
4652,7088,-12800,16512,-3072,-112
4220,6956,-13148,16464,-3116,-180
4332,6304,-12952,16388,-3080,-68
4452,6336,-13632,16600,-3032,-48
4536,6248,-12932,16456,-3200,-124
4184,6604,-13324,16492,-3132,-80
4204,6464,-13388,16496,-3016,-180
4324,6468,-13204,16420,-3076,-172
4588,6716,-12740,16404,-3064,-84
4456,6828,-12872,16520,-3112,-16
4536,6028,-12992,16512,-3084,-16
4256,6232,-13248,16380,-3196,-176
4048,6816,-13532,16436,-3120,-200
4136,7152,-13040,16488,-3132,-28
4744,6836,-12868,16528,-2964,-12
4400,6940,-12976,16444,-2960,-100
4036,6904,-13128,16540,-3180,-64
4920,6408,-13036,16452,-3148,52
4460,6832,-12856,16380,-3084,84
4456,7364,-12756,16492,-2968,-160
5148,7104,-12620,16552,-2932,-164
4156,7540,-13356,16472,-3040,-20
4308,7516,-12964,16424,-3132,-68
5060,7384,-12292,16436,-3132,-120
5244,7156,-12400,16568,-3148,-140
5180,7076,-12344,16428,-3052,-200
4972,7096,-12820,16448,-3052,-24
4856,6896,-12456,16476,-3092,-132
5068,7056,-12296,16440,-3140,-120
4960,8068,-12492,16516,-3076,-164
4644,8040,-12044,16424,-3132,12
5012,8084,-12192,16448,-3084,-8
4820,7828,-12112,16420,-3096,-112
4864,8164,-12236,16448,-3100,-56
4420,8012,-12380,16428,-3032,-20
4384,8056,-12896,16464,-3068,12
4376,7604,-12752,16420,-3064,0
4536,7540,-12604,16496,-3084,-188
4752,7824,-12280,16532,-3064,8
4900,7936,-12240,16484,-3004,56
4624,7988,-12272,16436,-3092,8
4504,7832,-12612,16444,-3160,-152
4676,7548,-12612,16420,-3552,-208
4588,7396,-12700,16416,-3408,-32
4584,7500,-12620,16440,-3712,-92
